date,battery,signal,variation
2019-10-24 23:53:19.820000,510,692,182
2019-10-25 00:26:54.980000,516,691,175
2019-10-25 01:00:30.140000,516,692,176
2019-10-25 01:34:05.290000,511,692,180
2019-10-25 02:07:40.440000,513,693,180
2019-10-25 02:41:15.590000,513,694,181
2019-10-25 03:14:50.730000,512,696,184
2019-10-25 03:48:25.880000,515,697,182
2019-10-25 04:22:01.050000,515,700,186
2019-10-25 04:55:36.200000,513,700,187
2019-10-25 05:29:11.360000,514,700,186
2019-10-25 06:02:46.500000,511,700,189
2019-10-25 06:36:21.640000,516,701,185
2019-10-25 07:09:56.570000,502,655,153
2019-10-25 07:43:31.070000,487,569,81
2019-10-25 08:17:05.560000,486,567,82
2019-10-25 08:50:40.090000,487,572,85
2019-10-25 09:24:14.610000,486,568,82
2019-10-25 09:57:49.150000,487,571,83
2019-10-25 10:31:23.620000,479,563,84
2019-10-25 11:04:58.190000,489,573,84
2019-10-25 11:38:32.730000,484,568,84
2019-10-25 12:12:07.260000,483,565,82
2019-10-25 12:45:41.770000,481,565,84
2019-10-25 13:19:16.280000,478,561,82
2019-10-25 13:52:50.680000,462,543,81
2019-10-25 14:26:25.110000,469,549,80
2019-10-25 14:59:59.580000,476,555,79
2019-10-25 15:33:34.090000,479,558,79
2019-10-25 16:07:08.600000,481,560,79
2019-10-25 16:40:43.110000,478,557,79
2019-10-25 17:14:18.200000,505,695,189
2019-10-25 17:47:53.340000,507,697,190
2019-10-25 18:21:28.490000,512,698,185
2019-10-25 18:55:03.650000,515,701,187
2019-10-25 19:28:38.810000,509,704,195
2019-10-25 20:02:13.980000,516,700,184
2019-10-25 20:35:49.140000,511,696,186
2019-10-25 21:09:24.300000,511,697,186
2019-10-25 21:42:59.470000,507,698,191
2019-10-25 22:16:34.610000,508,694,186
2019-10-25 22:50:09.750000,508,695,187
2019-10-25 23:23:44.890000,510,697,187
2019-10-25 23:57:20,505,688,184
2019-10-26 00:30:55.120000,505,690,186
2019-10-26 01:04:30.240000,509,690,181
2019-10-26 01:38:05.380000,513,691,178
2019-10-26 02:11:40.510000,511,695,184
2019-10-26 02:45:15.640000,512,696,184
2019-10-26 03:18:50.780000,514,697,182
2019-10-26 03:52:25.910000,512,699,187
2019-10-26 04:26:01.050000,513,703,190
2019-10-26 04:59:36.190000,513,700,187
2019-10-26 05:33:11.320000,511,700,189
2019-10-26 06:06:46.460000,518,700,182
2019-10-26 06:40:21.580000,511,698,187
2019-10-26 07:13:56.700000,516,700,183
2019-10-26 07:47:31.650000,501,661,160
2019-10-26 08:21:06.150000,486,568,82
2019-10-26 08:54:40.660000,485,566,82
2019-10-26 09:28:15.150000,485,567,82
2019-10-26 10:01:49.660000,484,570,86
2019-10-26 10:35:24.150000,478,564,86
2019-10-26 11:08:58.710000,484,570,86
2019-10-26 11:42:33.240000,482,567,85
2019-10-26 12:16:07.700000,478,563,85
2019-10-26 12:49:42.160000,471,557,86
2019-10-26 13:23:16.690000,477,562,85
2019-10-26 13:56:51.180000,478,561,82
2019-10-26 14:30:26,496,639,143
2019-10-26 15:04:01.100000,510,692,182
2019-10-26 15:37:36.210000,512,689,176
2019-10-26 16:11:11.330000,505,691,185
2019-10-26 16:44:46.460000,511,691,180
2019-10-26 17:18:21.580000,506,691,185
2019-10-26 17:51:56.700000,508,691,183
2019-10-26 18:25:31.830000,510,692,182
2019-10-26 18:59:06.960000,508,692,184
2019-10-26 19:32:42.070000,507,692,185
2019-10-26 20:06:17.220000,514,694,180
2019-10-26 20:39:52.370000,516,691,175
2019-10-26 21:13:27.500000,510,689,178
2019-10-26 21:47:02.620000,508,684,176
2019-10-26 22:20:37.730000,506,686,180
2019-10-26 22:54:12.870000,508,691,184
2019-10-26 23:27:48.010000,510,691,182
2019-10-27 00:01:23.110000,507,687,180
2019-10-27 00:34:58.230000,509,685,176
2019-10-27 01:08:33.350000,506,683,177
2019-10-27 01:42:08.480000,513,691,178
2019-10-27 02:15:43.610000,513,693,180
2019-10-27 02:49:18.740000,508,694,186
2019-10-27 03:22:53.870000,510,693,183
2019-10-27 03:56:29,510,698,188
2019-10-27 04:30:04.130000,509,699,190
2019-10-27 05:03:39.200000,509,683,174
2019-10-27 05:37:13.700000,482,559,77
2019-10-27 06:10:48.200000,483,562,78
2019-10-27 06:44:22.700000,482,560,79
2019-10-27 07:17:57.190000,483,561,78
2019-10-27 07:51:31.690000,484,566,81
2019-10-27 08:25:06.190000,482,562,80
2019-10-27 08:58:40.700000,485,566,81
2019-10-27 09:32:15.210000,483,564,81
2019-10-27 10:05:49.730000,481,563,82
2019-10-27 10:39:24.250000,479,561,82
2019-10-27 11:12:58.790000,482,564,82
2019-10-27 11:46:33.260000,474,557,83
2019-10-27 12:20:07.770000,479,562,82
2019-10-27 12:53:42.450000,489,600,111
2019-10-27 13:27:17.530000,505,693,188
